,role,firm,location,jd,time_ago
166,Data Scientist Manager,Central Retail Corporation (CRC Talent Acquisition),Prakket,"Data Scientist ManagerDesign, build and implement predictiveBuild data visualizations (e.g. Tableau)",3d ago
167,Business Analyst (New grads are welcome),Beryl 8 Plus Public Company Limited,Huaykwang,"IT consultingSalesforce, CRM, Cloud/ Functional consultantWorking 5 days/week, Bonus, Insurance",20h ago
168,IT Data Analyst,Thai Reinsurance Public Company Limited,Huaykwang,Near MRT SutthisanFlexible Working HoursWorking 5 days/week,5d ago
169,Location Development Analyst,"TD Tawandang Co., Ltd.",Bangrak,Location & Data AnaystExp. in GIS database managementBachelor's Degree in Geography or related fields,3d ago
170,Business Analyst,The Minor Food Group Public Company Limited,Bangkok,Bachelor's or master's degree in computer science3 - 5 years of experienceApplication development,4d ago
171,Corporate Finance - Financial Data Analyst,Central Group (Central Pattana Public Company Limited),Pathumwan,"Corporate Finance,Financial Analyst,Data AnalysisFinancial Planning,Management Report,InvestmentAuditor,Real Estate,FMCG,Retail,Financial Service",4d ago
172,Data Scientist and Analyst,AIA Company Limited,Bangrak,Data ScienceAgency ReportingData Analysis,6d ago
173,Data Analysis_1 Year Contract _Salary 28K._Location near BTS  Chidlom_WN/Data Analysis,Adecco Phaholyothin Limited,Pathumwan,Data AnalysisStatisticData Administration,4d ago
174,Business Development Analyst (BIGTH),The Siam Cement Public Company Limited (SCG),Bangsue,"Business Analyst, Data Analyst experienceBangkok Industrial Gas Company Limited (BIGTH)Minimum 3 years’ experience",3d ago
175,Data Analyst - Loss Prevention and Security,Lotus's,Beungkum,Supporting Loss Prevention & SecurityGood interpersonal and communicationExperience in data analysis,5d ago
176,Sales Data Analyst/เจ้าหน้าที่วิเคราะห์การขาย,Chumporn Palm Oil Industry Public Company Limited,Sathorn,Sales and Data AnalysisAnalytic toolFluent in spoken and written English,5d ago
177,Business Intelligence Officer /Associate / Assistant Business Intelligence Manager /Senior,Thai Beverages Public Company Limited,Jatuchak,"ความเข้าใจ .NET Framework ArchitectureASP.net C# or VB.net, ADO .Net, SQL Serverปริญญาตรีสาขาคอมพิวเตอร์ หรือสาขาที่เกี่ยวข้อง",20h ago
178,Project Coordinator - Business Analyst (Work at Bangna Tower),Krungsri Consumer,Bangplee,"Project Management of Call Center UnitMinimum 2-3 years in BA, Project CoordinatorUAT and Business Analyst Experience",10h ago
179,Senior Data Analyst /นักวิเคราะห์ข้อมูล(ระดับsenior) (50K-60K) (SDG-66215)/นักวิเคราะห์ข้อมูล(ระดับsenior),"RGF HR Agent Recruitment (Thailand) Co., Ltd.",Wattana,Opportunity to be a pioneer of digital dataAnalyse website and marketing channel performance5 years experiences in digital data analysis,4d ago
180,"Assistant Manager, Business Intelligence (Data & Reporting)","Thai Samsung Electronics Co., Ltd.",Sathorn,"Data analytics for Business / Data visualizationReporting/Business Intelligence/Business AnalystQliksense, Qlikview, Tableau, Power BI, SQL",4d ago
181,Data Engineering and Analytical Platform Lead (Egg Data and Media),"Ascend Group Co., Ltd.",Bangkok,IT Data Data analyze Data engineerTechnologyAnalytics,20h ago
182,Junior-Mid Data Scientist – Develop ML models with fast-growing technology company,Cathcart Associates Asia Recruitment Ltd.,Phayathai,"Salary up to 60,000 THB + BenefitsStrong in Python and its ML librariesKeen with start-up tech. company",3d ago
183,Data Scientist - Customer Analytics,Bangkokbank (BBL),Bangrak,"Data Scientist Data Mining StatisticsComputer Engineering , ITMarketing , Consumer Behavior , CRM Analytics",4d ago
184,Tester (Data Warehouse)(Hybrid working),Krungsri Bank (Bank of Ayudhya PCL.),Yannawa,"Data Warehouse, Application supportSQL, Shell ScriptData warehouse Solution/Design/ETL/SQL and RDBMS",20h ago
185,Data Analytics Specialist,"SC Asset Corporation Public Co., Ltd.",Jatuchak,"An independent, creative thinkerOrganised and meticulous in natureusing programmes Excel, SPSS, Statista, Wizard",5d ago
186,Junior Analyst / Junior Data Engineer,NES Fircroft (Thailand) Ltd.,Donmuang,Asset management unit3-5 years experienceMinimum Bachelor's degree in Engineer or MBA,4d ago
187,Data Analyst,"Premier Fission Capital Co., Ltd.",Pravet,ฺBI ReportData AnalyticsReporting Tool,6d ago
188,Business Analyst – Payment & Wallet,Lazada  Ltd.,Wattana,Market ResearchAnalyst DataFresh graduate are welcome,5d ago
189,Production Data Analysis,"Yoshimoto Flexo Printing (Thailand) Co., Ltd.",Rayong,,5d ago
190,Analyst/พนักงานวิเคราะห์และวางแผน,Nuovo Plus Company Limited,Donmuang,ติดตามการจัดทำงบประมาณประจำปีของบริษัทปริญญาตรีสาขา เศรษฐศาสตร์ วิศวกรรม บริหารธุรกิจภาษาจีนสูงกว่าระดับ HSK 5,20h ago
191,BI Data Analytics,Central Retail Corporation (CRC Talent Acquisition),Pathumwan,BI Data AnalyticsData AnalyticsSupport Merchandise and Marketplace team,4d ago
192,Junior Analyst / Junior Data Engineer (Business Development Unit),NES Fircroft (Thailand) Ltd.,Donmuang,Business Development unit3-5 years experienceMinimum Bachelor's degree in Engineer or MBA,4d ago
193,Business Analyst - Alive,AIA Company Limited,Bangrak,Business AnalystData Functional AnalystData platform BI,3d ago
194,Business Analyst (RPA / Unit Link),Ancor Thailand,Bangkok,Provide analytical support to usersAlign the business teamUnderstand and negotiate the needs,20h ago
195,Business Analyst (Data Analytics),KASIKORNBANK PUBLIC COMPANY LIMITED,Ratburana,Data AnalyticsBusiness AnalystPMO,5d ago
196,Pricing Analyst (Energy/oil/gas or FMCG industry),NES Fircroft (Thailand) Ltd.,Bangkok,5 years of experiences preferable in pricingfinancial analysis or sales strategyEnergy/oil/gas or FMCG industry,20h ago
197,Data Analyst Officer-Senior/เจ้าหน้าที่วิเคราะห์ข้อมูลธุรกิจ,AIRA & AIFUL Public Company Limited,Huaykwang,"Experience in data analysisComputer skill (MS office), SQLGood command in English",4d ago
198,Senior Budget and Data Analysis Associate/เจ้าหน้าที่ชำนาญการพัฒนาระบบ,Thai Beverages Public Company Limited,Jatuchak,"ปริญญาตรี สาขาเทคโนโลยีสารสนเทศ/ที่เกียวข้องมีประสบการณ์พัฒนาระบบ Dashboardสามารถจัดการฐานข้อมูล Advanced Excel, Power B",5d ago
199,"Industrial Engineer Department Head / Data Analysis/(Based in Bangplee Industrial Estate, Samutprakan)","ETA (Thailand) Co., Ltd.",Bangsaotong,Lead cross team with data to achieve KPIData analysis and visualization developmentCompetitive remuneration,5d ago
200,Data Analyst,Com7 Public Company Limited,Bangna,PowerBIAnalytic/Data MiningData Management,6d ago
201,Digital Performance Analyst - Lead Generations,"Heroleads (Thailand) Co., Ltd.",Wattana,"Performance Marketing AnalystGoogle Analytics, Google Ads, Facebook Ads,Digital campaign analyst",7h ago
202,Data Platform Leader (Digital Insuretech),WE SUPPLY TALENT,Bangkok,International working environmentUtilizing advanced technologyFast tracked career progression,20h ago
203,Safety & Environmental Analyst(8yrs+ in EHS Data Analyst/Exp in Petrochemical Industry/Good English),"SMARTCRUIT CONSULTANT RECRUITMENT CO., LTD.",Bangkok,8 years of experience in EHS Data AnalystExp in Petrochemical or Manufacturing industryGood communications in English,4d ago
204,Business Analyst / Project Manager,Adecco Phaholyothin Limited (Modis),Sathorn,Looking for Business Analyst and Project ManagerGood English Communication SkillStrong analytical and problem-solving skills,20h ago
205,Data Engineer & Management/ฝ่ายจัดการและวิเคราะห์ข้อมูลตลาดทุน (สายงานจัดการข้อมูล),สำนักงานคณะกรรมการกำกับหลักทรัพย์และตลาดหลักทรัพย์ (ก.ล.ต.),Jatuchak,"Data Management, ออกแบบโครงสร้างข้อมูลเชิงธุรกิจวุฒิการศึกษาระดับปริญญาตรีขึ้นไป สาขา Computerสร้าง Data Schema / เขียน Store Procedure/Function",1d ago
206,Business Analyst,Generali Insurance (Thailand) Public Company Limited,Pathumwan,Lead business analysis activitiesInsurance BusinessConduct regular reviews of systems,5d ago
207,Data Analyst/Analytics (Work at Prachinburi),JAC International,Phrachinburi,"ETL, SQL, DAX, and Power BIWork at PrachinburiWFH 2-3 days per week",6d ago
208,Data Analyst ( Contract 1 Year ต่อสัญญา),Adecco Praram 4 Recruitment Limited,Pathumwan,,6d ago
209,Financial Analyst,"THE MALL GROUP CO., LTD. ( HEAD OFFICE )",Wattana,Financial AnalystBusiness AnalystWorking Location: Emporium,20h ago
210,Financial Analyst,"THE MALL GROUP CO., LTD. ( HEAD OFFICE )",Wattana,Financial AnalystBusiness AnalystWorking Location: Emporium,20h ago
211,Financial Analyst,"Supara Co., Ltd.",Pathumwan,Bachelor in Finance or related fields2-3 year of experience in corporate financeSomeone with good command of English.,20h ago
212,Data Scientist,Central Group (Supporting Unit),Pathumwan,"Machine LearningData Scientist / Data AnalystPython / PySpark, SQL",4d ago
213,AWS Data Engineer,RingZero IT Services Limited,Sathorn,"1+ yrs as Data Engineer1-2 yrs w/ AWS, Azure, or GCPExp. w/ Big Data & Streaming Data Networks",2h ago
214,Business Analyst (Global markets),Krungsri Bank (Bank of Ayudhya PCL / BAY),Pathumwan,"Global Markets Business AnalystMinimum 5 years’ experience in IT field,Global Markets,Business IT, Business Analyst",2d ago
215,Junior Investment Analyst/เจ้าหน้าที่บริหารการลงทุน,"Poon Phol Co., Ltd.",Sathorn,ทำงานจันทร์ - ศุกร์สิทธิค่ารักษาพยาบาลโบนัสประจำปี,11h ago
216,ETL Developer/Junior/ETL Developer,"Boonthavorn Ceramics Co., Ltd.",Huaykwang,,20h ago
217,Enterprise Data Architect & Platform Delivery Director/Enterprise Data Architect & Platform Delivery Director,Central Group (Centara Hotels & Resorts),Pathumwan,Computer engineer/scienceAt least 10 years full time work experienceproficiency in Workshop,20h ago
218,SAP Master Data Management (SAP MDM),PTT Digital Solutions Company Limited,Jatuchak,"SAP MDM , Database Management ,Databas AdminDatabase Implement , IT Database ArchitectData Migration,",20h ago
219,Financial Analyst (Renewable Energy) 80-100K,MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,"Financial controlling, treasury, cash managementGood command in English is an advantageFinancial modeling techniques",15h ago
220,Data Scientist & AI Lead/หัวหน้าทีมนักวิทยาศาสตร์ข้อมูล และปัญญาประดิษฐ์,VISAI AI Company Limited,Jatuchak,Strong data science knowledge and experienceData problem formulationCoaching and teaching skills,2d ago
221,Marketing Analyst/นักวิเคราะห์การตลาด,"Yushi Group Co., Ltd.",มีนบุรี,,4d ago
222,Data Engineer/Data Engineer,"Siam Paragon Development Co., Ltd.",Pathumwan,"Cloud, Python, Java or similarBuild data systems and pipelinesHands-on experience with SQL database design",20h ago
223,BI & Analytics Specialist,"Ngernturbo Co., Ltd. / บริษัท เงินเทอร์โบ จำกัด",ปากเกร็ด,"Skills in data analysis & visualizationFive working days! No clock-in, clock-outMaster's Degree scholarship",4d ago
224,Digital Data Reviewer ( Chinese Language ),Accenture Thailand,Sathorn,Fluent in Chinese and EnglishCompetitive salary with language allowanceOpen to fresh grads,20h ago
225,BI Developer/ MIS (Urgent),Next Capital Public Company Limited,Bangrak,"hire purchase, MISBig Data, Tableau report, finance reportLeasing, Banking, Collection",20h ago
226,Data Lead,Maknet,บางกะปิ,International WorkplaceWork from AnywhereOpportunities for Career Development,1d ago
227,Data Science,"Inspektion Co., Ltd.",ปริมณฑล-นนทบุรี,,3d ago
228,Business Analyst,Dentsu (Thailand) Ltd.(Iprospect),Bangrak,"Business analysis, get requirementProject managementProcess development, test, UAT",4d ago
229,System Analyst/Business Analyst,"Touch Technologies Co., Ltd.",Huaykwang,,20h ago
230,Senior Data Analyst,"Skillpower Services (Thailand) Co., Ltd.",ลาดกระบัง,Manage data templatesSupport data cleansing activitiesAnalytical&Proficient in spoken andwritten English,4d ago
231,Investment Analyst,"Innobic (Asia) Co.,Ltd",Jatuchak,"Business Development and InvestmentM&A,JV, & New business projects investmentDue Diligence /Feasibility Study",15h ago
232,Junior Software Engineer (ETL and Data Virtualization),MFEC Public Company Limited,Jatuchak,Azure TechnologiesExtract Transform Load Technologies (ETL)Data Virtualization Technologies,20h ago
